data	before	after	until	since	while
6650	0.508	0.478	0.509	0.512	0.476
7000	0.496	0.552	0.522	0.486	0.529
5950	0.647	0.547	0.507	0.569	0.566
3850	0.599	0.718	0.524	0.542	0.554
1750	0.506	0.582	0.526	0.544	0.5
4200	0.641	0.611	0.564	0.529	0.577
350	0.527	0.548	0.52	0.483	0.514
6300	0.682	0.54	0.522	0.531	0.626
8400	0.473	0.637	0.521	0.516	0.507
5600	0.592	0.52	0.504	0.507	0.57
1050	0.627	0.559	0.513	0.544	0.581
3150	0.593	0.491	0.506	0.519	0.559
7700	0.543	0.558	0.497	0.535	0.49
2800	0.493	0.589	0.508	0.557	0.54
4900	0.526	0.474	0.512	0.546	0.434
2450	0.493	0.524	0.51	0.532	0.509
4550	0.506	0.549	0.516	0.512	0.51
8050	0.449	0.601	0.513	0.543	0.579
2100	0.486	0.503	0.523	0.501	0.514
700	0.6	0.616	0.513	0.478	0.542
3500	0.55	0.559	0.527	0.528	0.489
7350	0.558	0.584	0.532	0.514	0.528
5250	0.566	0.532	0.496	0.533	0.497
1400	0.673	0.601	0.527	0.564	0.557
