data	before	after	until	since	while
6	-5.699226	-6.080092	-7.2837377	-9.510366	-6.650506
1	-5.492563	-6.0442934	-6.5319877	-8.988891	-5.761535
8	-5.691565	-5.8441763	-6.8773584	-10.592258	-6.7304296
9	-5.662062	-6.11968	-6.777019	-9.262497	-6.907178
7	-6.1366897	-7.038344	-8.041484	-10.996084	-7.676562
15	-6.1971383	-7.710947	-8.201586	-9.811575	-7.2723885
12	-5.675593	-6.0506573	-7.6599455	-9.886282	-7.3089166
24	-5.1682043	-5.797869	-7.0115137	-9.07768	-7.124968
23	-5.408341	-6.019707	-7.2297153	-9.425276	-7.411946
22	-5.6821322	-6.351345	-6.5027304	-9.552147	-7.2686567
13	-6.5942526	-17.798763	-13.502016	-18.171074	-15.360294
14	-6.8037877	-7.5798526	-8.390877	-10.328829	-8.478674
2	-5.3916955	-5.3933916	-5.12279	-7.42776	-6.2579126
5	-6.788557	-7.1403923	-7.4928575	-10.408593	-6.391165
4	-5.574723	-6.0126843	-6.376324	-10.068104	-6.340542
3	-5.757933	-6.3467054	-6.461978	-10.549272	-6.515478
11	-5.5878057	-7.4910703	-7.224975	-11.595717	-10.704032
16	-6.6758804	-8.258096	-10.194179	-11.460033	-9.01225
20	-6.067834	-7.875266	-8.764713	-9.985239	-8.367241
18	-6.3945484	-8.385457	-9.400089	-10.619694	-8.168914
19	-6.6320543	-7.7873564	-8.824809	-9.754458	-7.3654327
21	-5.69038	-7.896437	-8.107536	-9.833999	-8.369813
17	-5.6739516	-8.17284	-7.2740154	-9.518382	-7.0746584
10	-5.461585	-5.7860765	-7.1261587	-9.571319	-6.829875
