data	before	after	until	since	while
6	0.627	0.556	0.515	0.553	0.513
1	0.619	0.597	0.519	0.504	0.582
8	0.566	0.572	0.573	0.513	0.487
9	0.664	0.53	0.545	0.538	0.59
7	0.601	0.511	0.523	0.529	0.509
15	0.665	0.573	0.571	0.726	0.546
12	0.54	0.441	0.505	0.5	0.587
24	0.534	0.596	0.539	0.52	0.525
23	0.553	0.637	0.558	0.601	0.505
22	0.54	0.553	0.537	0.553	0.506
13	0.516	0.643	0.819	0.563	0.496
14	0.535	0.578	0.508	0.575	0.579
2	0.661	0.582	0.605	0.541	0.503
5	0.485	0.546	0.506	0.55	0.582
4	0.603	0.798	0.602	0.59	0.576
3	0.549	0.571	0.668	0.552	0.52
11	0.599	0.687	0.509	0.606	0.52
16	0.548	0.663	0.572	0.533	0.5
20	0.641	0.797	0.546	0.626	0.591
18	0.653	0.84	0.824	0.551	0.524
19	0.612	0.671	0.582	0.57	0.543
21	0.636	0.698	0.567	0.611	0.55
17	0.877	0.622	0.495	0.6	0.489
10	0.593	0.487	0.529	0.543	0.537
