index	data	word	mean
1	25	before	0.743648995144955
2	50	before	0.969164537130624
3	75	before	0.994754537963609
4	100	before	0.997627537066551
5	125	before	0.996521845489564
6	150	before	0.997550002665954
7	175	before	0.996999527943596
8	200	before	0.997730261906608
9	225	before	0.990856045392899
10	250	before	0.998164431093638
11	275	before	0.998179653612583
12	300	before	0.997652992419486
13	325	before	0.998118150550702
14	350	before	0.997909178917184
15	375	before	0.998673269270759
16	400	before	0.9983840492169
17	425	before	0.997979198597585
18	450	before	0.998699145806348
19	475	before	0.998164202476938
20	500	before	0.998597105894074
21	525	before	0.998176095970796
22	550	before	0.998489897738075
23	575	before	0.998342063424405
24	600	before	0.998987056156278
25	25	after	0.690361561736876
26	50	after	0.762883539046918
27	75	after	0.859672727194598
28	100	after	0.907668110778136
29	125	after	0.969443025413001
30	150	after	0.971569821170735
31	175	after	0.987146768921151
32	200	after	0.985686620084552
33	225	after	0.982203794086398
34	250	after	0.984986111223293
35	275	after	0.990702061189791
36	300	after	0.981805119863894
37	325	after	0.990800824345978
38	350	after	0.991187998251592
39	375	after	0.987871747051168
40	400	after	0.987502291567508
41	425	after	0.994239264805664
42	450	after	0.996356274505938
43	475	after	0.99291172124247
44	500	after	0.991087329641527
45	525	after	0.995055587991467
46	550	after	0.995432056436634
47	575	after	0.99625734338816
48	600	after	0.996858574860099
49	25	since	0.68614572846031
50	50	since	0.756659350638744
51	75	since	0.780024796727335
52	100	since	0.811010791155309
53	125	since	0.830614203758454
54	150	since	0.87332038024849
55	175	since	0.869439826142291
56	200	since	0.863390577992727
57	225	since	0.872363915268783
58	250	since	0.890267181326187
59	275	since	0.889062391923238
60	300	since	0.888114570316268
61	325	since	0.890229178336214
62	350	since	0.90642951919386
63	375	since	0.908197656913399
64	400	since	0.903490774180562
65	425	since	0.897254972032537
66	450	since	0.904499383229718
67	475	since	0.901870408390262
68	500	since	0.895809245965294
69	525	since	0.896460649790129
70	550	since	0.898218315620195
71	575	since	0.891010364865484
72	600	since	0.911188470598916
73	25	until	0.686359096017167
74	50	until	0.752977256353259
75	75	until	0.772203668246056
76	100	until	0.814597298134451
77	125	until	0.810949864777901
78	150	until	0.869875583630781
79	175	until	0.870563535281515
80	200	until	0.860816058629194
81	225	until	0.865714199702599
82	250	until	0.864772232173689
83	275	until	0.877734578868259
84	300	until	0.876390460947375
85	325	until	0.894554708053727
86	350	until	0.897352475948421
87	375	until	0.896427888520677
88	400	until	0.893791527264377
89	425	until	0.891048750453293
90	450	until	0.896276231724834
91	475	until	0.890096292594204
92	500	until	0.887965655303477
93	525	until	0.897839139516655
94	550	until	0.895983434304765
95	575	until	0.906003508480269
96	600	until	0.905620442366179
97	25	while.	0.66409836664441
98	50	while.	0.692673638496997
99	75	while.	0.743702072862074
100	100	while.	0.804445588351779
101	125	while.	0.815044309139625
102	150	while.	0.825542326115018
103	175	while.	0.835431192672521
104	200	while.	0.843104396831941
105	225	while.	0.851631027573127
106	250	while.	0.867502679120653
107	275	while.	0.865798459813417
108	300	while.	0.874660924000844
109	325	while.	0.886118238287055
110	350	while.	0.884458218132742
111	375	while.	0.885999914682987
112	400	while.	0.905130485823448
113	425	while.	0.894505204861323
114	450	while.	0.891894178181962
115	475	while.	0.89957173535827
116	500	while.	0.896530035137621
117	525	while.	0.91527888442387
118	550	while.	0.90885337316986
119	575	while.	0.903390107103465
120	600	while.	0.918406051168707
